id,date,transaction
0,2/18/2023,89.0
1,10/19/2023,92.7
2,4/13/2023,-40.9
3,11/18/2023,-50.7
4,9/26/2023,-58.1
5,2/11/2023,19.9
6,2/15/2023,4.0
7,8/24/2023,-23.1
8,1/6/2023,-81.5
9,5/6/2023,42.6
10,10/9/2023,46.6
11,7/4/2023,0.1
12,4/1/2023,46.3
13,4/4/2023,-2.1
14,3/11/2023,75.5
15,4/23/2023,34.0
16,5/24/2023,89.8
17,9/30/2023,-30.7
18,5/20/2023,34.0
19,8/29/2023,7.4
20,8/20/2023,-42.9
21,6/20/2023,38.3
22,2/22/2023,80.5
23,1/20/2023,65.5
24,7/26/2023,-30.9
25,12/6/2023,63.9
26,5/3/2023,78.0
27,6/17/2023,62.9
28,1/3/2023,86.4
29,3/28/2023,-74.9
