id,date,transaction
0,5/16/2023,64.8
1,5/3/2023,52.8
2,2/22/2023,90.5
3,6/7/2023,19.9
4,4/16/2023,51.5
5,11/3/2023,37.5
6,1/25/2023,71.2
7,4/13/2023,27.8
8,3/25/2023,-38.2
9,2/6/2023,-45.5
10,2/2/2023,15.3
11,2/9/2023,-89.0
12,8/6/2023,-45.8
13,2/23/2023,1.5
14,12/29/2023,91.9
15,11/5/2023,-34.1
16,6/21/2023,-46.3
17,1/10/2023,66.6
18,5/29/2023,24.3
19,7/17/2023,-80.4
20,4/27/2023,-34.0
21,8/22/2023,79.6
22,12/2/2023,93.0
23,6/30/2023,55.4
24,9/16/2023,-48.4
25,4/28/2023,-50.5
26,7/14/2023,-48.9
27,2/22/2023,-15.9
28,2/17/2023,24.1
29,8/10/2023,10.3
