id,date,transaction
0,6/4/2023,-85.9
1,12/11/2023,12.1
2,2/15/2023,0.3
3,4/19/2023,-57.3
4,12/13/2023,-17.7
5,8/9/2023,-69.2
6,6/23/2023,17.4
7,9/14/2023,-16.8
8,12/21/2023,-76.1
9,4/1/2023,12.6
10,2/16/2023,12.1
11,5/3/2023,44.8
12,2/2/2023,90.4
13,12/28/2023,15.6
14,4/27/2023,-36.7
15,11/12/2023,-54.9
16,6/26/2023,-6.3
17,1/28/2023,28.0
18,12/23/2023,51.3
19,5/28/2023,23.1
20,8/9/2023,-52.0
21,7/8/2023,99.4
22,7/27/2023,-46.4
23,5/14/2023,-58.3
24,1/22/2023,-49.9
25,10/30/2023,-27.7
26,5/29/2023,-89.4
