id,date,transaction
0,1/24/2023,-50.9
1,11/6/2023,74.9
2,8/23/2023,-64.8
3,6/26/2023,48.8
4,1/11/2023,-94.9
5,9/16/2023,96.0
6,9/9/2023,-67.3
7,9/28/2023,45.9
8,2/13/2023,-39.0
9,9/12/2023,41.9
10,10/7/2023,7.7
11,11/7/2023,-13.8
12,1/4/2023,61.8
13,6/13/2023,-29.2
14,12/2/2023,61.4
15,4/3/2023,38.3
16,11/4/2023,46.9
17,4/17/2023,1.2
18,12/4/2023,-56.8
19,4/6/2023,24.8
20,3/5/2023,-85.8
21,4/12/2023,21.0
22,9/16/2023,-55.8
23,12/20/2023,31.1
24,8/12/2023,-24.5
25,2/22/2023,-75.7
26,10/23/2023,35.3
27,4/2/2023,-82.8
28,3/11/2023,-16.4
29,2/10/2023,-92.8
30,6/24/2023,31.7
