id,date,transaction
0,7/9/2023,-87.9
1,8/21/2023,-35.9
2,4/28/2023,-48.2
3,8/19/2023,95.8
4,8/28/2023,89.4
5,5/4/2023,35.2
6,7/6/2023,-11.1
7,7/16/2023,32.0
8,11/24/2023,-31.6
9,9/14/2023,-46.3
10,7/24/2023,96.0
11,5/20/2023,-24.6
12,12/9/2023,65.9
13,6/6/2023,-47.5
14,7/24/2023,93.7
15,7/20/2023,33.6
16,6/27/2023,62.3
17,4/3/2023,40.2
18,6/19/2023,1.3
19,5/14/2023,-98.5
20,1/26/2023,38.2
21,8/7/2023,75.5
22,6/21/2023,-96.1
23,2/24/2023,-45.3
24,3/23/2023,82.2
25,11/23/2023,66.7
26,8/5/2023,50.1
27,3/22/2023,-75.8
28,5/17/2023,88.6
29,1/17/2023,63.6
30,6/23/2023,42.0
31,6/13/2023,-74.7
32,7/16/2023,36.9
33,10/26/2023,-96.3
