id,date,transaction
0,8/15/2023,-68.8
1,1/19/2023,-69.6
2,10/9/2023,13.4
3,1/26/2023,11.3
4,12/27/2023,-6.0
5,12/29/2023,-59.0
6,6/20/2023,23.4
7,7/22/2023,76.3
8,8/27/2023,77.3
9,11/27/2023,-80.6
10,3/18/2023,-93.7
11,5/23/2023,-36.5
12,8/13/2023,24.1
13,11/19/2023,-0.6
14,11/13/2023,72.8
15,1/21/2023,-68.4
16,9/2/2023,-20.4
17,7/29/2023,-34.2
18,12/21/2023,18.3
19,8/6/2023,50.7
20,7/10/2023,44.7
21,10/9/2023,-36.6
22,12/6/2023,-50.4
23,3/22/2023,22.8
24,1/4/2023,-74.8
25,6/3/2023,-66.3
26,12/25/2023,47.9
27,3/9/2023,-10.0
28,2/13/2023,39.6
29,3/24/2023,93.1
