id,date,transaction
0,12/28/2023,23.5
1,1/28/2023,3.5
2,9/11/2023,24.4
3,9/13/2023,33.0
4,3/18/2023,91.7
5,8/17/2023,28.4
6,5/4/2023,-36.2
7,6/29/2023,-8.7
8,1/27/2023,-0.8
9,7/17/2023,-78.5
10,10/18/2023,59.7
11,12/30/2023,-51.3
12,11/19/2023,22.4
13,11/23/2023,93.1
14,6/22/2023,-24.4
15,9/17/2023,-34.0
16,8/18/2023,-24.3
17,9/12/2023,-36.4
18,8/10/2023,-6.2
19,2/3/2023,-96.6
20,6/25/2023,11.1
21,6/11/2023,66.3
22,10/14/2023,-30.0
23,8/6/2023,-80.7
24,6/25/2023,-86.1
25,1/26/2023,91.9
26,3/14/2023,32.1
27,8/24/2023,-29.1
28,2/14/2023,-28.3
29,4/22/2023,-56.4
30,1/26/2023,-77.6
31,3/21/2023,64.4
32,11/19/2023,67.0
