id,date,transaction
0,8/6/2023,14.1
1,12/19/2023,-8.8
2,10/17/2023,26.4
3,3/20/2023,-91.4
4,10/11/2023,-39.1
5,1/21/2023,-57.7
6,10/15/2023,40.7
7,12/1/2023,67.1
8,2/19/2023,-80.3
9,9/9/2023,-14.9
10,2/7/2023,16.4
11,5/28/2023,-56.6
12,3/17/2023,24.9
13,12/5/2023,-75.3
14,3/26/2023,56.3
15,2/24/2023,-95.8
16,5/29/2023,-71.4
17,7/19/2023,-62.7
18,12/11/2023,42.1
19,7/10/2023,-31.5
20,11/4/2023,-78.7
21,7/4/2023,4.0
22,1/29/2023,-58.6
23,1/26/2023,-74.5
24,8/24/2023,66.3
25,3/14/2023,0.8
26,6/18/2023,71.4
27,6/3/2023,-77.0
28,11/12/2023,-63.7
29,11/19/2023,25.1
