id,date,transaction
0,12/20/2023,-77.1
1,12/27/2023,-75.2
2,1/18/2023,59.8
3,9/5/2023,79.6
4,11/6/2023,90.3
5,11/26/2023,63.7
6,8/15/2023,63.0
7,6/19/2023,-52.8
8,4/1/2023,-46.4
9,7/20/2023,-8.7
10,8/15/2023,38.6
11,2/11/2023,-1.7
12,10/6/2023,-40.4
13,6/27/2023,-44.5
14,4/9/2023,-56.2
15,6/24/2023,-70.2
16,6/1/2023,-84.0
17,12/14/2023,-92.2
18,6/29/2023,-89.8
19,6/28/2023,-6.9
20,4/20/2023,-80.1
21,11/17/2023,-37.7
22,9/10/2023,-17.6
23,10/13/2023,6.8
24,7/11/2023,-62.2
25,2/24/2023,-91.0
26,10/6/2023,44.4
27,7/7/2023,28.9
28,3/21/2023,-25.8
29,2/18/2023,99.2
30,3/5/2023,-26.3
