id,date,transaction
0,6/14/2023,-81.5
1,2/22/2023,85.3
2,1/25/2023,34.2
3,4/7/2023,10.9
4,11/15/2023,99.2
5,4/9/2023,69.6
6,7/17/2023,-16.1
7,7/29/2023,-5.8
8,7/18/2023,24.1
9,10/2/2023,63.5
10,5/22/2023,-61.6
11,5/17/2023,84.6
12,7/3/2023,3.5
13,7/5/2023,53.5
14,12/27/2023,33.1
15,4/24/2023,61.5
16,3/23/2023,81.3
17,3/30/2023,-83.2
18,7/24/2023,48.2
19,2/19/2023,-37.4
20,11/8/2023,-13.4
21,4/4/2023,30.8
22,1/18/2023,-27.4
23,7/19/2023,-71.4
24,7/27/2023,-84.6
25,11/19/2023,28.2
26,5/21/2023,28.9
27,5/15/2023,79.4
28,10/21/2023,-4.1
