id,date,transaction
0,1/7/2023,-1.8
1,5/19/2023,94.9
2,12/15/2023,-10.2
3,6/17/2023,-80.2
4,8/15/2023,96.2
5,7/5/2023,73.1
6,6/7/2023,-12.9
7,9/18/2023,25.3
8,9/13/2023,61.5
9,1/30/2023,2.5
10,9/7/2023,97.7
11,2/8/2023,-80.2
12,12/22/2023,-37.7
13,1/25/2023,-98.8
14,5/1/2023,63.1
15,10/2/2023,61.3
16,12/6/2023,-89.6
17,8/26/2023,-93.1
18,11/6/2023,68.3
19,4/9/2023,-18.6
20,4/24/2023,69.4
21,10/17/2023,96.6
22,1/20/2023,7.1
23,4/10/2023,94.8
24,9/3/2023,-65.3
25,9/19/2023,-47.2
26,3/3/2023,-27.7
27,8/15/2023,94.4
28,12/16/2023,-40.6
29,3/18/2023,85.8
30,4/22/2023,24.0
31,8/15/2023,-61.9
