id,date,transaction
0,11/27/2023,-29.1
1,8/13/2023,94.5
2,8/19/2023,82.9
3,1/9/2023,23.7
4,11/12/2023,-42.7
5,3/5/2023,-93.0
6,9/10/2023,79.0
7,12/27/2023,6.8
8,5/18/2023,89.9
9,7/16/2023,-20.5
10,11/23/2023,-98.0
11,10/19/2023,-52.6
12,12/1/2023,-30.6
13,8/12/2023,-57.4
14,7/10/2023,-53.2
15,7/19/2023,-43.1
16,7/4/2023,98.1
17,9/2/2023,52.6
18,5/2/2023,-11.2
19,11/21/2023,68.2
20,9/4/2023,-72.2
21,4/19/2023,56.6
22,5/7/2023,22.3
23,4/12/2023,-74.5
24,7/30/2023,76.7
25,12/17/2023,92.2
26,9/20/2023,-36.7
27,9/23/2023,20.0
28,2/8/2023,48.9
29,3/5/2023,33.6
30,8/10/2023,29.2
31,12/7/2023,-98.1
32,10/3/2023,-73.6
33,9/15/2023,71.9
