id,date,transaction
0,6/22/2023,93.6
1,11/15/2023,-53.5
2,11/27/2023,92.8
3,11/26/2023,-6.4
4,3/7/2023,87.5
5,1/19/2023,79.8
6,3/12/2023,24.7
7,2/14/2023,-38.4
8,10/11/2023,-81.7
9,11/23/2023,-85.9
10,2/12/2023,-15.0
11,5/1/2023,93.1
12,12/15/2023,16.1
13,8/2/2023,92.9
14,4/10/2023,-12.8
15,8/20/2023,0.3
16,6/11/2023,53.7
17,3/2/2023,-11.5
18,4/10/2023,30.3
19,5/5/2023,-12.9
20,3/23/2023,48.4
21,8/24/2023,-69.7
22,12/28/2023,62.3
23,12/9/2023,-99.1
24,2/19/2023,-3.7
25,12/24/2023,-78.1
26,3/1/2023,-94.7
